Element,Type,Flow Name,Load Name,Load New Name
Main WRD,In,T_Direct_Precip_Main_WRD_Pond,T_Direct_Precip_MainWRDPond_CT,T_Direct_Precip_Main_WRD_Pond_CT
Main WRD,In,T_TreatedWater_to_MainWRD_pond,T_TreatedwaterToMainWRDPond_CT,T_TreatedWater_to_MainWRD_pond_CT
Main WRD,In,T_Q_to_MainWRD_Pond_ExposedWR,T_QtoMainWRD_Pond_ExposedWR_CT,T_Q_to_MainWRD_Pond_ExposedWR_CT
Main WRD,In,T_Q_to_MainWRD_Pond_Background,T_Q_to_MainWRDPondBackgroundCT,T_Q_to_MainWRD_Pond_Background_CT
Main WRD,Out,T_Main_WRD_Pond_to_Evap,,
Main WRD,Out,T_Main_WRD_Pond_to_GWTP,T_Main_WRD_Pond_to_GWTP_CT,
Main WRD,Out,T_Main_WRD_Pond_to_Main_Pit,T_Main_WRD_Pond_to_MainPit_CT,T_Main_WRD_Pond_to_Main_Pit_CT
Main WRD,Out,T_MainWRD_Pond_ConstructionH2O,T_MainWRDPond_Construct_H2O_CT,T_MainWRD_Pond_ConstructionH2O_CT
Main WRD,Out,T_Main_WRD_Pond_Overflow,T_Main_WRD_Pond_Overflow_CT,
Intermediate WRD,In,T_Direct_Precip_InterWRD_Pond,T_DirectPrecipInterWRD_Pond_CT,T_Direct_Precip_InterWRD_Pond_CT
Intermediate WRD,In,T_Runoff_IntermWRD_Pond,T_Runoff_IntermWRD_Pond_CT,
Intermediate WRD,Out,T_InterWRD_Pond_Evap,,
Intermediate WRD,Out,T_InterWRD_Pond_to_InterPit,T_InterWRD_Pond_to_InterPit_CT,
Intermediate WRD,Out,T_InterWRD_Pond_Overflow,T_InterWRD_Pond_Overflow_CT,
Dyson's WRD,In,T_Direct_Precip_DysonsWRD_Pond,T_DirectPrecipDysonsWRDPond_CT,T_Direct_Precip_DysonsWRD_Pond_CT
Dyson's WRD,In,T_Q_to_DysonWRD_Pond_ExposedWR,T_Q_to_DysWRDPond_ExposedWR_CT,T_Q_to_DysonWRD_Pond_ExposedWR_CT
Dyson's WRD,In,T_QtoDysonsWRD_Pond_Background,T_Q_to_DysWRDPondBackground_CT,T_QtoDysonsWRD_Pond_Background_CT
Dyson's WRD,Out,T_Dysons_WRD_Pond_to_Evap,,
Dyson's WRD,Out,T_Dysons_WRD_Pond_to_GWTP,T_DysonsWRD_Pond_to_GWTP_CT,T_Dysons_WRD_Pond_to_GWTP_CT
Dyson's WRD,Out,T_Dysons_WRD_Pond_to_Main_Pit,T_DysonsWRD_Pond_to_MainPit_CT,T_Dysons_WRD_Pond_to_Main_Pit_CT
Dyson's WRD,Out,T_DysWRD_Pond_ConstructionH2O,T_DysonsWRD_Pond_WaterNeeds_CT,T_DysWRD_Pond_ConstructionH2O_CT
Dyson's WRD,Out,T_Dysons_WRD_Pond_Overflow,T_DysonsWRD_Pond_Overflow_CT,T_Dysons_WRD_Pond_Overflow_CT
EWSF,In,T_Direct_Precip_EWSF_Pond,T_Direct_Precip_EWSF_Pond_CT,
EWSF,In,T_Q_to_EWSFPond_from_ExposedWR,T_Q_to_EWSF_Pond_Exposed_WR_CT,T_Q_to_EWSFPond_from_ExposedWR_CT
EWSF,In,T_QtoEWSF_Pond_from_Background,T_Q_to_EWSFPond_Background_CT,T_QtoEWSF_Pond_from_Background_CT
EWSF,Out,T_EWSF_Pond_to_Evap,,T_EWSF_Pond_to_Evap_CT
EWSF,Out,T_EWSF_Pond_to_GWTP,T_EWSF_Pond_to_GWTP_CT,
EWSF,Out,T_EWSF_Pond_to_Main_Pit,T_EWSF_Pond_Main_Pit,T_EWSF_Pond_to_Main_Pit_CT
EWSF,Out,T_EWSF_Pond_ConstructionH2O,T_EWSF_Pond_ConstructionH20_CT,T_EWSF_Pond_ConstructionH2O_CT
EWSF,Out,T_EWSF_Pond_Overflow_to_GS327,T_EWSFPondOverflow_to_GS327_CT,T_EWSF_Pond_Overflow_to_GS327_CT
EWSF,Out,T_EWSF_Pond_Overflow_to_GS200,T_EWSFPondOverflow_to_GS200_CT,T_EWSF_Pond_Overflow_to_GS200_CT
Groundwater Treatment Plant,In,T_Dysons_WRD_Pond_to_GWTP,T_DysonsWRD_Pond_to_GWTP_CT,T_Dysons_WRD_Pond_to_GWTP_CT
Groundwater Treatment Plant,In,T_Dewater_MainPit_via_GWTP,T_Dewater_MP_via_GWTP_CT,T_Dewater_MainPit_via_GWTP_CT
Groundwater Treatment Plant,In,T_EWSF_Pond_to_GWTP,T_EWSF_Pond_to_GWTP_CT,
Groundwater Treatment Plant,In,T_Main_WRD_Pond_to_GWTP,T_Main_WRD_Pond_to_GWTP_CT,
Groundwater Treatment Plant,In,T_Actual_SIS_Withdrawal_Rate,T_Actual_SIS_WithdrawalRate_CT,T_Actual_SIS_Withdrawal_Rate_CT
